City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,alice springs,-23.7,133.8833,67.55,24,0,16.11,AU,1683697793
1,inhambane,-23.865,35.3833,70.92,83,1,7.65,MZ,1683697793
2,uturoa,-16.7333,-151.4333,81.39,78,83,11.07,PF,1683697793
3,yellowknife,62.456,-114.3525,48.72,61,20,3.44,CA,1683697793
4,phan thiet,10.9333,108.1,87.24,66,51,10.02,VN,1683697582
5,kimbe,-5.5502,150.1429,83.08,85,100,1.25,PG,1683697794
6,edinburgh of the seven seas,-37.0676,-12.3116,54.52,62,34,21.77,SH,1683697794
7,flying fish cove,-10.4217,105.6791,83.88,83,100,12.66,CX,1683697794
8,hithadhoo,-0.6,73.0833,82.6,73,52,7.27,MV,1683697794
9,cidreira,-30.1811,-50.2056,58.98,88,0,6.82,BR,1683697794
10,margaret river,-33.95,115.0667,58.15,59,99,25.48,AU,1683697794
11,kostomuksha,64.571,30.5767,37.08,100,100,4.88,RU,1683697794
12,fiambala,-27.6871,-67.6149,58.96,49,0,6.89,AR,1683697795
13,moranbah,-22.0016,148.0466,72.77,39,1,16.28,AU,1683697795
14,howard springs,-12.497,131.047,87.98,43,82,7.58,AU,1683697795
15,albany,42.6001,-73.9662,45.81,71,2,1.01,US,1683697656
16,grytviken,-54.2811,-36.5092,33.98,99,100,7.23,GS,1683697795
17,maceio,-9.6658,-35.7353,72.84,100,40,4.61,BR,1683697795
18,rio gallegos,-51.6226,-69.2181,37.45,70,0,3.44,AR,1683697795
19,tofol,5.3248,163.0078,82.18,83,100,3.44,FM,1683697795
20,utrik,11.2278,169.8474,81.63,82,91,15.66,MH,1683697795
21,ratnagiri,16.9833,73.3,89.47,61,98,10.18,IN,1683697796
22,isiro,2.7739,27.616,66.61,99,100,2.08,CD,1683697796
23,beboto,8.2668,16.939,79.7,59,100,7.65,TD,1683697796
24,punta arenas,-53.15,-70.9167,28.51,100,0,3.44,CL,1683697768
25,ouro preto do oeste,-10.7481,-62.2158,69.98,99,50,4.05,BR,1683697792
26,puerto natales,-51.7236,-72.4875,34.61,92,82,2.21,CL,1683697796
27,fort bragg,35.139,-79.006,68.14,83,100,13.8,US,1683697796
28,stanley,54.868,-1.6985,47.79,94,7,1.14,GB,1683697796
29,st. john's,47.5649,-52.7093,36.93,82,75,31.07,CA,1683697649
30,mount isa,-20.7333,139.5,76.77,12,0,12.66,AU,1683697797
31,northam,51.0333,-4.2167,53.38,95,81,13.09,GB,1683697797
32,port-aux-francais,-49.35,70.2167,41.0,94,98,27.69,TF,1683697797
33,tiksi,71.6872,128.8694,14.43,80,44,17.11,RU,1683697797
34,adamstown,-25.066,-130.1015,71.87,56,97,10.65,PN,1683697797
35,waconia,44.8508,-93.7869,62.17,89,89,5.99,US,1683697797
36,bredasdorp,-34.5322,20.0403,56.86,81,99,3.15,ZA,1683697797
37,georgetown,5.4112,100.3354,93.13,66,20,10.36,MY,1683697513
38,sisimiut,66.9395,-53.6735,28.89,81,100,8.3,GL,1683697797
39,taltal,-25.4,-70.4833,62.67,78,26,3.4,CL,1683697798
40,isafjordur,66.0755,-23.124,38.93,95,100,3.6,IS,1683697798
41,hawaiian paradise park,19.5933,-154.9731,69.31,92,100,8.05,US,1683697798
42,boguchany,58.3814,97.4531,48.09,31,75,8.41,RU,1683697798
